entry_time,exit_time,pnl_usd,position,n_bars,won,session,dow,hour
2024-01-20 03:00:00+00:00,2024-01-20 05:30:00+00:00,0.37585937499999744,-1,11,True,Asia    (00-07),Saturday,3
2024-01-20 05:45:00+00:00,2024-01-20 06:30:00+00:00,37.92078125,1,4,True,Asia    (00-07),Saturday,5
2024-01-20 06:45:00+00:00,2024-01-20 10:30:00+00:00,58.774296875,-1,16,True,Asia    (00-07),Saturday,6
2024-01-20 10:45:00+00:00,2024-01-20 13:30:00+00:00,32.0340625,1,12,True,London  (07-12),Saturday,10
2024-01-20 13:45:00+00:00,2024-01-20 17:15:00+00:00,10.250859374999997,-1,15,True,Overlap (12-16),Saturday,13
2024-01-20 17:30:00+00:00,2024-01-21 03:00:00+00:00,40.645390625000005,1,39,True,NY      (16-22),Saturday,17
2024-01-21 03:15:00+00:00,2024-01-21 06:45:00+00:00,38.104375,-1,15,True,Asia    (00-07),Sunday,3
2024-01-21 07:00:00+00:00,2024-01-21 11:00:00+00:00,82.649296875,1,17,True,London  (07-12),Sunday,7
2024-01-21 11:15:00+00:00,2024-01-21 13:00:00+00:00,-19.520625000000003,-1,8,False,London  (07-12),Sunday,11
2024-01-21 13:15:00+00:00,2024-01-21 14:00:00+00:00,16.295781249999997,1,4,True,Overlap (12-16),Sunday,13
2024-01-21 14:15:00+00:00,2024-01-21 17:15:00+00:00,75.17078125,-1,13,True,Overlap (12-16),Sunday,14
2024-01-21 17:30:00+00:00,2024-01-21 20:00:00+00:00,9.905156249999997,1,11,True,NY      (16-22),Sunday,17
2024-01-21 20:15:00+00:00,2024-01-21 21:00:00+00:00,8.895390624999997,-1,4,True,NY      (16-22),Sunday,20
2024-01-21 21:15:00+00:00,2024-01-21 22:00:00+00:00,16.184453124999997,1,4,True,NY      (16-22),Sunday,21
2024-01-21 22:15:00+00:00,2024-01-22 00:00:00+00:00,42.703984375000005,-1,8,True,Off     (22-00),Sunday,22
2024-01-22 00:15:00+00:00,2024-01-22 01:00:00+00:00,-82.00109375,1,4,False,Asia    (00-07),Monday,0
2024-01-22 01:15:00+00:00,2024-01-22 03:30:00+00:00,165.539921875,-1,10,True,Asia    (00-07),Monday,1
2024-01-22 03:45:00+00:00,2024-01-22 04:00:00+00:00,-30.223750000000003,1,2,False,Asia    (00-07),Monday,3
2024-01-22 04:15:00+00:00,2024-01-22 05:00:00+00:00,124.87,-1,4,True,Asia    (00-07),Monday,4
2024-01-22 05:15:00+00:00,2024-01-22 05:30:00+00:00,133.008671875,1,2,True,Asia    (00-07),Monday,5
2024-01-22 05:45:00+00:00,2024-01-22 08:00:00+00:00,59.059453125000005,-1,10,True,Asia    (00-07),Monday,5
2024-01-22 08:15:00+00:00,2024-01-22 08:15:00+00:00,-49.784296875,1,1,False,London  (07-12),Monday,8
2024-01-22 08:30:00+00:00,2024-01-22 08:30:00+00:00,31.530156249999997,-1,1,True,London  (07-12),Monday,8
2024-01-22 08:45:00+00:00,2024-01-22 08:45:00+00:00,58.004765625,1,1,True,London  (07-12),Monday,8
2024-01-22 09:00:00+00:00,2024-01-22 11:30:00+00:00,79.260625,-1,11,True,London  (07-12),Monday,9
2024-01-22 11:45:00+00:00,2024-01-22 12:45:00+00:00,42.245,1,5,True,London  (07-12),Monday,11
2024-01-22 13:00:00+00:00,2024-01-22 14:15:00+00:00,128.258671875,-1,6,True,Overlap (12-16),Monday,13
2024-01-22 14:30:00+00:00,2024-01-22 14:45:00+00:00,33.149296875,1,2,True,Overlap (12-16),Monday,14
2024-01-22 15:00:00+00:00,2024-01-22 15:15:00+00:00,104.92078125,-1,2,True,Overlap (12-16),Monday,15
2024-01-22 15:30:00+00:00,2024-01-22 16:00:00+00:00,25.356328125000005,1,3,True,Overlap (12-16),Monday,15
2024-01-22 16:15:00+00:00,2024-01-22 20:00:00+00:00,265.90629486169,-1,16,True,NY      (16-22),Monday,16
2024-01-22 20:15:00+00:00,2024-01-22 21:00:00+00:00,-3.1125972134425126,1,4,False,NY      (16-22),Monday,20
2024-01-22 21:15:00+00:00,2024-01-23 00:00:00+00:00,113.86856259692854,-1,12,True,NY      (16-22),Monday,21
2024-01-23 00:15:00+00:00,2024-01-23 02:45:00+00:00,149.254765625,1,11,True,Asia    (00-07),Tuesday,0
2024-01-23 03:00:00+00:00,2024-01-23 04:00:00+00:00,-23.553828125000003,-1,5,False,Asia    (00-07),Tuesday,3
2024-01-23 04:15:00+00:00,2024-01-23 04:30:00+00:00,15.641484374999997,1,2,True,Asia    (00-07),Tuesday,4
2024-01-23 04:45:00+00:00,2024-01-23 06:45:00+00:00,44.83484375,-1,9,True,Asia    (00-07),Tuesday,4
2024-01-23 07:00:00+00:00,2024-01-23 08:30:00+00:00,-259.18078125,1,7,False,London  (07-12),Tuesday,7
2024-01-23 08:45:00+00:00,2024-01-23 10:45:00+00:00,291.88953125,-1,9,True,London  (07-12),Tuesday,8
2024-01-23 11:00:00+00:00,2024-01-23 16:45:00+00:00,180.274296875,1,24,True,London  (07-12),Tuesday,11
2024-01-23 17:00:00+00:00,2024-01-23 18:45:00+00:00,92.645390625,-1,8,True,NY      (16-22),Tuesday,17
