entry_time,exit_time,pnl_usd,position,n_bars,won,session,dow,hour
2022-02-10 03:00:00+00:00,2022-02-10 03:15:00+00:00,0.9953975677490234,1,2,True,Asia    (00-07),Thursday,3
2022-02-10 03:30:00+00:00,2022-02-10 04:00:00+00:00,23.99713134765625,-1,3,True,Asia    (00-07),Thursday,3
2022-02-10 04:15:00+00:00,2022-02-10 05:00:00+00:00,13.500753402709961,1,4,True,Asia    (00-07),Thursday,4
2022-02-10 05:15:00+00:00,2022-02-10 06:15:00+00:00,-27.50128173828125,-1,5,False,Asia    (00-07),Thursday,5
2022-02-10 06:30:00+00:00,2022-02-10 06:30:00+00:00,-24.00248908996582,1,1,False,Asia    (00-07),Thursday,6
2022-02-10 06:45:00+00:00,2022-02-10 07:00:00+00:00,3.499094009399414,-1,2,True,Asia    (00-07),Thursday,6
2022-02-10 07:15:00+00:00,2022-02-10 12:15:00+00:00,198.50164985656738,1,21,True,London  (07-12),Thursday,7
2022-02-10 12:30:00+00:00,2022-02-10 13:30:00+00:00,29.504600524902344,-1,5,True,Overlap (12-16),Thursday,12
2022-02-10 13:45:00+00:00,2022-02-10 13:45:00+00:00,17.500225067138672,1,1,True,Overlap (12-16),Thursday,13
2022-02-10 14:00:00+00:00,2022-02-10 16:00:00+00:00,202.99584007263184,-1,9,True,Overlap (12-16),Thursday,14
2022-02-10 16:15:00+00:00,2022-02-10 19:00:00+00:00,501.99658012390137,1,12,True,NY      (16-22),Thursday,16
2022-02-10 19:15:00+00:00,2022-02-10 21:30:00+00:00,243.49719619750977,-1,10,True,NY      (16-22),Thursday,19
2022-02-10 21:45:00+00:00,2022-02-10 22:00:00+00:00,-25.003847122192383,1,2,False,NY      (16-22),Thursday,21
2022-02-10 22:15:00+00:00,2022-02-10 22:30:00+00:00,48.99531936645508,-1,2,True,Off     (22-00),Thursday,22
2022-02-10 22:45:00+00:00,2022-02-11 00:45:00+00:00,-26.499923706054688,1,9,False,Off     (22-00),Thursday,22
2022-02-11 01:00:00+00:00,2022-02-11 02:15:00+00:00,119.50165367126465,-1,6,True,Asia    (00-07),Friday,1
2022-02-11 02:30:00+00:00,2022-02-11 03:30:00+00:00,71.0013542175293,1,5,True,Asia    (00-07),Friday,2
2022-02-11 03:45:00+00:00,2022-02-11 07:00:00+00:00,104.99984359741211,-1,14,True,Asia    (00-07),Friday,3
2022-02-11 07:15:00+00:00,2022-02-11 07:15:00+00:00,10.997358322143555,1,1,True,London  (07-12),Friday,7
2022-02-11 07:30:00+00:00,2022-02-11 08:30:00+00:00,46.49788475036621,-1,5,True,London  (07-12),Friday,7
2022-02-11 08:45:00+00:00,2022-02-11 08:45:00+00:00,2.998414993286133,1,1,True,London  (07-12),Friday,8
2022-02-11 09:00:00+00:00,2022-02-11 09:00:00+00:00,-67.5019588470459,-1,1,False,London  (07-12),Friday,9
2022-02-11 09:15:00+00:00,2022-02-11 14:00:00+00:00,230.99810218811035,1,20,True,London  (07-12),Friday,9
2022-02-11 14:15:00+00:00,2022-02-11 14:30:00+00:00,6.00248908996582,-1,2,True,Overlap (12-16),Friday,14
2022-02-11 14:45:00+00:00,2022-02-11 15:00:00+00:00,80.50233459472656,1,2,True,Overlap (12-16),Friday,14
2022-02-11 15:15:00+00:00,2022-02-11 15:15:00+00:00,70.50067520141602,-1,1,True,Overlap (12-16),Friday,15
2022-02-11 15:30:00+00:00,2022-02-11 16:30:00+00:00,-28.496679306030273,1,5,False,Overlap (12-16),Friday,15
2022-02-11 16:45:00+00:00,2022-02-11 16:45:00+00:00,31.50135612487793,-1,1,True,NY      (16-22),Friday,16
2022-02-11 17:00:00+00:00,2022-02-11 20:00:00+00:00,116.49757957458496,1,13,True,NY      (16-22),Friday,17
2022-02-11 20:15:00+00:00,2022-02-11 21:45:00+00:00,218.99968719482422,-1,7,True,NY      (16-22),Friday,20
2022-02-11 22:00:00+00:00,2022-02-14 00:00:00+00:00,16.99954605102539,1,9,True,Off     (22-00),Friday,22
2022-02-14 00:15:00+00:00,2022-02-14 00:45:00+00:00,-7.503923416137695,-1,3,False,Asia    (00-07),Monday,0
2022-02-14 01:00:00+00:00,2022-02-14 02:00:00+00:00,62.996450424194336,1,5,True,Asia    (00-07),Monday,1
2022-02-14 02:15:00+00:00,2022-02-14 03:45:00+00:00,62.996450424194336,-1,7,True,Asia    (00-07),Monday,2
2022-02-14 04:00:00+00:00,2022-02-14 04:15:00+00:00,-70.0053539276123,1,2,False,Asia    (00-07),Monday,4
2022-02-14 04:30:00+00:00,2022-02-14 06:00:00+00:00,-0.5003776550292969,-1,7,False,Asia    (00-07),Monday,4
2022-02-14 06:15:00+00:00,2022-02-14 06:30:00+00:00,7.504526138305664,1,2,True,Asia    (00-07),Monday,6
2022-02-14 06:45:00+00:00,2022-02-14 09:00:00+00:00,43.49977111816406,-1,10,True,Asia    (00-07),Monday,6
2022-02-14 09:15:00+00:00,2022-02-14 09:45:00+00:00,22.000375747680664,1,3,True,London  (07-12),Monday,9
2022-02-14 10:00:00+00:00,2022-02-14 11:00:00+00:00,194.50217819213867,-1,5,True,London  (07-12),Monday,10
2022-02-14 11:15:00+00:00,2022-02-14 14:30:00+00:00,199.9977264404297,1,14,True,London  (07-12),Monday,11
2022-02-14 14:45:00+00:00,2022-02-14 15:00:00+00:00,103.49780654907227,-1,2,True,Overlap (12-16),Monday,14
2022-02-14 15:15:00+00:00,2022-02-14 15:15:00+00:00,55.99886512756348,1,1,True,Overlap (12-16),Monday,15
2022-02-14 15:30:00+00:00,2022-02-14 16:15:00+00:00,39.50029945373535,-1,4,True,Overlap (12-16),Monday,15
2022-02-14 16:30:00+00:00,2022-02-14 17:15:00+00:00,27.001205444335938,1,4,True,NY      (16-22),Monday,16
2022-02-14 17:30:00+00:00,2022-02-14 18:30:00+00:00,62.501731872558594,-1,5,True,NY      (16-22),Monday,17
2022-02-14 18:45:00+00:00,2022-02-14 20:00:00+00:00,116.00286102294922,1,6,True,NY      (16-22),Monday,18
2022-02-14 20:15:00+00:00,2022-02-14 21:45:00+00:00,85.50316429138184,-1,7,True,NY      (16-22),Monday,20
2022-02-14 22:00:00+00:00,2022-02-14 22:00:00+00:00,25.00444984436035,1,1,True,Off     (22-00),Monday,22
2022-02-14 22:15:00+00:00,2022-02-15 00:00:00+00:00,10.502639770507812,-1,8,True,Off     (22-00),Monday,22
2022-02-15 00:15:00+00:00,2022-02-15 04:45:00+00:00,80.50233459472656,1,19,True,Asia    (00-07),Tuesday,0
2022-02-15 05:00:00+00:00,2022-02-15 08:00:00+00:00,35.50082778930664,-1,13,True,Asia    (00-07),Tuesday,5
2022-02-15 08:15:00+00:00,2022-02-15 09:15:00+00:00,17.500225067138672,1,5,True,London  (07-12),Tuesday,8
2022-02-15 09:30:00+00:00,2022-02-15 09:30:00+00:00,7.999244689941406,-1,1,True,London  (07-12),Tuesday,9
2022-02-15 09:45:00+00:00,2022-02-15 11:15:00+00:00,101.49509048461914,1,7,True,London  (07-12),Tuesday,9
2022-02-15 11:30:00+00:00,2022-02-15 11:45:00+00:00,12.499395370483398,-1,2,True,London  (07-12),Tuesday,11
2022-02-15 12:00:00+00:00,2022-02-15 13:00:00+00:00,-5.000528335571289,1,5,False,Overlap (12-16),Tuesday,12
2022-02-15 13:15:00+00:00,2022-02-15 14:00:00+00:00,27.49592399597168,-1,4,True,Overlap (12-16),Tuesday,13
2022-02-15 14:15:00+00:00,2022-02-15 14:30:00+00:00,11.998716354370117,1,2,True,Overlap (12-16),Tuesday,14
2022-02-15 14:45:00+00:00,2022-02-15 15:15:00+00:00,42.4984130859375,-1,3,True,Overlap (12-16),Tuesday,14
2022-02-15 15:30:00+00:00,2022-02-15 15:30:00+00:00,36.996904373168945,1,1,True,Overlap (12-16),Tuesday,15
2022-02-15 15:45:00+00:00,2022-02-15 15:45:00+00:00,19.99765968322754,-1,1,True,Overlap (12-16),Tuesday,15
2022-02-15 16:00:00+00:00,2022-02-15 16:00:00+00:00,9.996000289916992,1,1,True,NY      (16-22),Tuesday,16
2022-02-15 16:15:00+00:00,2022-02-15 17:15:00+00:00,91.49939155578613,-1,5,True,NY      (16-22),Tuesday,16
2022-02-15 17:30:00+00:00,2022-02-15 17:30:00+00:00,-33.49750900268555,1,1,False,NY      (16-22),Tuesday,17
2022-02-15 17:45:00+00:00,2022-02-15 17:45:00+00:00,-10.001358032226562,-1,1,False,NY      (16-22),Tuesday,17
